"th","generic_name","manufacturer","Drugregistration","Trade_name","Year_published","Volume_no","Remark"
"218","Colchicine tablets","T.O. Chemicals (1979) Co., Ltd.","1A 74/57","TOLCHICINE","2566","2023",
"219","Colistimethate sodium sterile powder","Siam Bheasach Co., Ltd.","1A 29/57","MELLISTIN 150 MG INJECTION","2561","2018",
"220","Cycloserine capsules","Hawon Pharmaceutical Corperation (Democratic Peopleโ€s Republic of Korea)","1C 386/49","HAWON CYCLOSERINE CAP","2561","2018",
"221","Cycloserine capsules","Thai Meiji Pharmaceutical Co., Ltd.","1A 307/46","CYCLOSERINE CAPSULES MEIJI","2561","2018",
"222","Desloratadine tablets","Unison Laboratories Co., Ltd.","1A 32/60(NG)","ALLORA 5","2564","2021",
"223","Desoximetasone cream","Olic (Thailand) Ltd.","1A 665/40","TOPICORTE","2564","2021",
"224","Desoximetasone cream","Sriprasit Pharma Co., Ltd.","1A 243/57","TOPOXY","2564","2021",
"225","Dexamathasone sodium phosphate + Neomycin sulfate eye drop","General Drugs House Co., Ltd.","2A 342/30","DEXYLIN","2562","2019",
"226","Dexamathasone sodium phosphate + Neomycin sulfate eye drop","Seng Thai Company Co., Ltd.","2A 911/27","DEXOPH EYE-EAR DROPS","2562","2019",
"227","Dexamathasone sodium phosphate + Neomycin sulfate eye drop","Siam Bheasach Co., Ltd.","2A 1037/28","EYEDEX","2562","2019",
"228","Dexamathasone sodium phosphate + Neomycin sulfate eye drop","Vesco Pharmaceutical Co., Ltd.","2A 124/48","VESOPH (EYE-EAR DROPS)","2562","2019",
"229","Dexamethasone sterile solution","L.B.S. Laboratory Ltd., Part.","1A 2578/28","LODEXA","2566","2023",
"230","Dexamethasone sterile solution","L.B.S. Laboratory Ltd., Part.","1A 1347/30","LODEXA-5","2566","2023",
"231","Dexamethasone sterile solution","T.P. Drug Laboratories (1969) Co., Ltd.","1A 829/30","DEXTON","2566","2023",
"232","Dextromethorphan hydrobromide syrup","B.L. Hua Co., Ltd.","1A 213/36","TUSCO","2561","2018",
"233","Dextromethorphan hydrobromide syrup","Osoth Inter Laboratories Co., Ltd.","1A 207/36","A-TUSSIN SYRUP","2561","2018",
"234","Diazepam tablets","Pharmasant Laboratories Co., Ltd.","P1A 31/53","ZOPAM 2","2561","2018",
"235","Diazepam tablets","Pharmasant Laboratories Co., Ltd.","P1A 32/53","ZOPAM 5","2561","2018",
"236","Diazepam tablets","The Government Pharmaceutical Organization (GPO)","P1A 10/58","DIAZEPAM TABLETS 5 MG","2561","2018",
"237","Diazepam tablets","The Government Pharmaceutical Organization (GPO)","P1A 11/58","DIAZEPAM TABLETS 10 MG","2561","2018",
"238","Diazepam tablets","The Government Pharmaceutical Organization (GPO)","P1A 9/58","DIAZEPAM TABLETS 2 MG","2561","2018",
"239","Diclofenac potassium tablets","Pharmasant Laboratories Co., Ltd.","1A 126/37","CATANAC 50","2566","2023",
"240","Diclofenac potassium tablets","Unison Laboratories Co., Ltd.","1A 336/43","LESFLAM 50","2566","2023",
"241","Diclofenac sodium enteric coated tablets","Burapha Dispensary Co., Ltd.","1A 455/38","BUFENAC","2563","2020",
"242","Diclofenac sodium enteric coated tablets","Inpac Pharma Co., Ltd.","1A 139/38","DICLOFENAC TABLETS","2563","2020",
"243","Diclofenac sodium enteric coated tablets","Siam Bheasach Co., Ltd.","1A 1272/30","DOSANAC 50","2563","2020",
"244","Diclofenac sodium enteric coated tablets","Thai Nakorn Patana Co., Ltd.","1A 271/37","DIFELENE","2563","2020",
"245","Diclofenac sodium sterile solution","General Drugs House Co., Ltd.","1A 2691/29","VOLFENAC INJECTION","2562","2019",
"246","Diclofenac sodium sterile solution","L.B.S. Laboratory Ltd., Part.","1A 303/30","FENAC","2562","2019",
"247","Diclofenac sodium sterile solution","Lincoln Parenterals Pvt. Ltd. (Republic of India)","1C 53/46","VIVIAN","2562","2019",
"248","Diclofenac sodium sterile solution","Novartis Pharma Stein AG (Swiss Confederation)","1C 58/48(N)","VOLTAREN (75 MG/3 ML)","2562","2019",
"249","Diclofenac sodium sterile solution","Siam Bheasach Co., Ltd.","1A 1249/31","DOSANAC (INJECTION)","2562","2019",
"250","Diclofenac sodium sterile solution","T.P. Drug Laboratories (1969) Co., Ltd.","1A 2037/30","DIFENAC","2562","2019",
"251","Diclofenac sodium sterile solution","Unique Pharmaceutical Laboratories (Republic of India)","1C 206/47","DOLONIL","2562","2019",
"252","Diclofenac sodium sterile solution","Utopian Co., Ltd.","1A 312/42","OSTAREN INJECTION","2562","2019",
"253","Diclofenac sodium sterile solution","Vesco Pharmaceutical Co., Ltd.","1A 120/50","VESCONAC INJECTION","2562","2019",
"254","Dicloxacillin sodium capsules","Community Pharmacy Public Co., Ltd.","1A 1/58","D-CLOXA 500","2562","2019",
"255","Dicloxacillin sodium capsules","Community Pharmacy Public Co., Ltd.","1A 105/30","DICLOXACILLIN CAPSULES","2562","2019",
"256","Dicloxacillin sodium capsules","Community Pharmacy Public Co., Ltd.","1A 1157/43","DICLOXACILLIN 500 MG","2562","2019",
"257","Dicloxacillin sodium capsules","Seven Stars Pharmaceutical Co., Ltd.","1A 257/54","CLOX-MED 500","2562","2019",
"258","Dicloxacillin sodium capsules","Seven Stars Pharmaceutical Co., Ltd.","1A 321/57","DICLOHOF 500","2562","2019",
"259","Dicloxacillin sodium capsules","Seven Stars Pharmaceutical Co., Ltd.","1A 434/38","DICLOXACILLIN-250 CAPSULE","2562","2019",
"260","Dicloxacillin sodium capsules","Seven Stars Pharmaceutical Co., Ltd.","1A 485/38","DICLOXACILLIN-500 CAPSULE","2562","2019",
"261","Dicloxacillin sodium capsules","Seven Stars Pharmaceutical Co., Ltd.","1A 81/54","DICLOXACILLIN-250 CAPSULE","2562","2019",
"262","Dicloxacillin sodium capsules","Seven Stars Pharmaceutical Co., Ltd.","1A 87/54","DICLOXACILLIN-500 CAPSULE","2562","2019",
"263","Dicloxacillin sodium capsules","Siam Bheasach Co., Ltd.","1A 1280/41","DIXOCILLIN (500 MG CAPSULE)","2562","2019",
"264","Dicloxacillin sodium capsules","Siam Bheasach Co., Ltd.","1A 163/28","DIXOCILLIN (250 MG CAPSULE)","2562","2019",
"265","Dicloxacillin sodium capsules","T. Man Pharma Co., Ltd.","1A 515/44","DICLOXMAN-500 CAPSULE","2562","2019",
"266","Dicloxacillin sodium capsules","The Government Pharmaceutical Organization (GPO)","1A 385/51","GPO DICLOX CAPSULES 500 MG","2562","2019",
"267","Dicloxacillin sodium capsules","The Government Pharmaceutical Organization (GPO)","1A 386/51","GPO DICLOX CAPSULES 250 MG","2562","2019",
"268","Dicloxacillin sodium capsules","R.X. Manufacturing Co., Ltd.","1A 420/48","DICLOXA RX 500","2565","2022",
"269","Dicloxacillin sodium capsules","The Government Pharmaceutical Organization (GPO)","1A 385/51","GPO DICLOX CAPSULES 500 MG","2565","2022",
"270","Dicloxacillin sodium capsules","The Government Pharmaceutical Organization (GPO)","1A 386/51","GPO DICLOX CAPSULES 250 MG","2565","2022",
"271","Dicycloverine (Dicyclomine) hydrochloride tablets","Pharmasant Laboratories Co., Ltd.","1A 375/38","DICYMINE","2562","2019",
"272","Dicycloverine (Dicyclomine) hydrochloride tablets","Pharmasant Laboratories Co., Ltd.","1A 654/38","DICYMINE","2562","2019",
"273","Dimenhydrinate tablets","New Life Pharma Co., Ltd.","1A 663/38","DIMENHYDRINATE","2564","2021",
"274","Dimenhydrinate tablets","Pharmasant Laboratories Co., Ltd.","1A 278/30","PHAMAMIN TABLETS","2564","2021",
"275","Dimenhydrinate tablets","Thai Nakorn Patana Co., Ltd.","1A 297/43","DIMIN","2564","2021",
"276","Dipotassium clorazepate capsules","Pharmasant Laboratories Co., Ltd.","P1A 28/55","FLULIUM 5","2563","2020",
"277","Dipotassium clorazepate capsules","Polipharm Co., Ltd.","P1A 7/57","POLIZEP 5","2563","2020",
"278","Disulfiram tablets","Pondโ€s Chemical (Thailand) R.O.P.","1A 150/29","CHRONOL","2562","2019",
"279","Disulfiram tablets","T. Man Pharma Co., Ltd.","1A 532/39","ANTA-AL TABLET","2562","2019",
"280","Disulfiram tablets","T.O. Pharma Co., Ltd.","1A 591/38","ALCOBUSE","2562","2019",
"281","Dobutamine hydrochloride sterile solution","Aroma Ilac San. Ltd. Sti. (Republic of Turkey)","1C 39/64","MEKARD","2566","2023",
"282","Domperidone (as base or maleate) oral suspension","Forty Two Siam Medicare Co., Ltd.","1A 837/32","DANY","2561","2018",
"283","Domperidone (as base or maleate) oral suspension","Polipharm Co., Ltd.","1A 752/38","DOMPERDONE SUSPENSION","2561","2018",
"284","Domperidone (as base or maleate) oral suspension","T. Man Pharma Co., Ltd.","1A 364/48","DOMINOX (LIQUID SUSPENSION)","2561","2018",
"285","Donepezil hydrochloride tablets","Bushu Pharmaceuticals Ltd. Misato Factory (Japan)","1B 5/52(N)","ARICEPT EVESS (5 MG)","2561","2018",
"286","Donepezil hydrochloride tablets","Bushu Pharmaceuticals Ltd. Misato Factory (Japan)","1B 6/52(N)","ARICEPT EVESS (10 MG)","2561","2018",
"287","Donepezil hydrochloride tablets","Sandoz Pvt. Ltd. (Republic of India)","1C 26/55(NG)","DOZEMO (10 MG)","2561","2018",
"288","Donepezil hydrochloride tablets","Sandoz Pvt. Ltd. (Republic of India)","1C 6/56(NG)","DOZEMO (5 MG)","2561","2018",
"289","Donepezil hydrochloride tablets","T.O. Chemicals (1979) Co., Ltd.","1A 24/53(NG)","TONIZEP 5","2561","2018",
"290","Donepezil hydrochloride tablets","Berlin Pharmaceutical Industry Co., Ltd.","1A 75/60(NG)","ALZIME 10","2566","2023",
"291","Dopamine hydrochloride sterile solution","Siam Bheasach Co., Ltd.","1A 1002/40","INOPIN INJECTION (250 MG/10ML)","2565","2022",
"292","Doxazosin mesilate tablets","Patar Lab (2517) Co., Ltd.","1A 278/56","DOZA - 4","2565","2022",
"293","Doxazosin mesilate tablets","Polipharm Co., Ltd.","1A 400/52","PROSTASIN 2","2565","2022",
"294","Doxazosin mesilate tablets","Sriprasit Pharma Co., Ltd.","1A 242/57","CARDOXA 2 MG","2565","2022",
"295","Doxazosin mesilate tablets","Umeda Co., Ltd.","1A 42/46","DOZOZIN-2","2565","2022",
"296","Doxycycline hydrochloride capsules","Utopian Co., Ltd.","1A 554/31","DOXINE","2563","2020",
"297","Enalapril maleate tablets","Berlin Pharmaceutical Industry Co., Ltd.","1A 437/38","ANAPRIL 5","2563","2020",
"298","Enalapril maleate tablets","Berlin Pharmaceutical Industry Co., Ltd.","1A 439/38","ANAPRIL 20","2563","2020",
"299","Enalapril maleate tablets","Pharmasant Laboratories Co., Ltd.","1A 278/36","LAPRIL 20","2563","2020",
"300","Enalapril maleate tablets","Berlin Pharmaceutical Industry Co., Ltd.","1A 48/62","ANAPRIL-S","2566","2023",
"301","Enalapril maleate tablets","Berlin Pharmaceutical Industry Co., Ltd.","1A 437/38","ANAPRIL 5","2566","2023",
"302","Enalapril maleate tablets","Berlin Pharmaceutical Industry Co., Ltd.","1A 439/38","ANAPRIL 20","2566","2023",
"303","Enalapril maleate tablets","Community Pharmacy Public Co., Ltd.","1A 104/63","ENALAPRIL 20 MG TABLET","2566","2023",
"304","Erythropoietin (Epoetin) sterile powder/solution","Center for Molecular Immunology (CIM) (Republic of Cuba)","1B 1/59(NB)","HEMA-PLUS 4000","2563","2020",
"305","Erythropoietin (Epoetin) sterile powder/solution","Center for Molecular Immunology (CIM) (Republic of Cuba)","1B 2/59(NB)","HEMA-PLUS 4000 (PREFILLED SYRINGE)","2563","2020",
"306","Erythropoietin (Epoetin) sterile powder/solution","Cilag AG (Switzerland)","1C 9/54(B)","EPREX (PREFILLED SYRINGE 10,000 IU/ML)","2561","2018",
"307","Erythropoietin (Epoetin) sterile powder/solution","CJ Cheiljedang Corporation (Democratic Peopleโ€s Republic of Korea)","1C 28/48(B)","EPOKINE-INJ 4000 IU","2563","2020",
"308","Erythropoietin (Epoetin) sterile powder/solution","Daewoong Pharmaceutical Co., Ltd. (Republic of Korea)","1C 2/53(B)","EPOSIS","2562","2019",
"309","Erythropoietin (Epoetin) sterile powder/solution","Dong-A ST Co., Ltd. (Republic of Korea)","1C 18/57(B)","EPORON INJECTION 4000 IU/ML","2563","2020",
"310","Erythropoietin (Epoetin) sterile powder/solution","LG Chem, Ltd. (Republic of Korea)","1C 22/56(B)","ESPOGEN INJECTION","2562","2019",
"311","Erythropoietin (Epoetin) sterile powder/solution","LG Chem, Ltd. (Republic of Korea)","1C 23/56(B)","ESPOGEN INJECTION","2562","2019",
"312","Erythropoietin (Epoetin) sterile powder/solution","Shenyang Sunshine Pharmaceutical Co., Ltd. (Peopleโ€s Republic of China)","1C 82/50(B)","EPIAO (4000 IU/ML)","2561","2018",
"313","Erythropoietin (Epoetin) sterile powder/solution","ShenZhen Sciprogen Biopharmaceutical Co., Ltd. (Peopleโ€s Republic of China)","1C 97/49(B)","RENOGEN 4000 UNITS/ML INJECTION","2561","2018",
"314","Erythropoietin (Epoetin) sterile powder/solution","IDT Biologika GmbH, Federal Republic of Germany","1C 12/61(B)","BINOCRIT (10,000 IU/ML)","2565","2022",
"315","Erythropoietin (Epoetin) sterile powder/solution","Siam Bioscience Co., Ltd.","1A 1/65(NB)","Hema-Plus 4000 IU/ML","2566","2023",
"316","Erythropoietin (Epoetin) sterile powder/solution","Siam Bioscience Co., Ltd.","1A 2/65(NB)","Hema-Plus 40000 IU/ML","2566","2023",
"317","Erythropoietin (Epoetin) sterile powder/solution","Siam Bioscience Co., Ltd.","1A 5/65(NB)","Hema-Plus 2000 IU/0.5 ML","2566","2023",
"318","Erythropoietin (Epoetin) sterile powder/solution","Siam Bioscience Co., Ltd.","1A 3/65(NB)","Hema-Plus 2000 IU/ML","2566","2023",
"319","Erythropoietin (Epoetin) sterile powder/solution","Siam Bioscience Co., Ltd.","1A 4/65(NB)","Hema-Plus 10000","2566","2023",
"320","Erythropoietin (Epoetin) sterile powder/solution","Siam Bioscience Co., Ltd.","1A 6/65(NB)","AIMAPEX","2566","2023",
"321","Escitalopram tablets","Sandoz Private Ltd. (Republic of India)","1C 87/60(NG)","ESCITALOPRAM SANDOZ (10 MG)","2566","2023",
"322","Ethionamide tablets","Medopharm (Republic of India)","1C 306/50","ETHIONAMIDE TABLETS USP (250 MG)","2564","2021",
"323","Ezetimibe tablets","Lek Pharmaceuticals D.D. (Republic of Slovenia)","1C 46/58(NG)","EZETIMIBE SANDOZ","2562","2019",
"324","Ezetimibe tablets","MSD International GmbH (Commonwealth of Puerto Rico)","1C 24/47(N)","EZETROL (TABLETS)","2562","2019",
"325","Ezetimibe tablets","MSD International GmbH (Commonwealth of Puerto Rico)","1C 66/56(N)","ZETIA","2562","2019",
"326","Ezetimibe tablets","Lek Pharmaceuticals D.D. (Republic of Slovenia)","1C 46/58(NG)","EZETIMIBE SANDOZ","2565","2022",
"327","Ezetimibe tablets","Millimed Co., Ltd.","1A 14/64(NG)","EZB","2565","2022",
"328","Ezetimibe tablets","Siam Bheasach Co., Ltd.","1A 4/63(NG)","MIBEAZ (10 MG TABLET)","2565","2022",
"329","Fenofibrate capsules/tablets","Berlin Pharmaceutical Industry Co., Ltd.","1A 274/55","FIBRIL","2565","2022",
"330","Fenofibrate capsules/tablets","Meditab Specialities Pvt. Ltd. (Republic of India)","1C 133/55","ADFEN - 200","2565","2022",
"331","Fenofibrate capsules/tablets","Umeda Co., Ltd.","1A 119/59","FEBRATE-200","2565","2022",
"332","Fenofibrate capsules/tablets","Unison Laboratories Co., Ltd.","1A 543/41","LEXEMIN 300","2565","2022",
"333","Fenofibrate capsules/tablets","Unison Laboratories Co., Ltd.","1A 544/41","LEXEMIN 100","2565","2022",
"334","Ferrous fumarate tablets","Patar Lab (2517) Co., Ltd.","1A 20/57","I-RON","2565","2022",
"335","Ferrous fumarate tablets","Patar Lab (2517) Co., Ltd.","1A 24/57","I-RON-F","2565","2022",
"336","Ferrous fumarate tablets","Pharmasant Laboratories Co., Ltd.","1A 539/46","FEMARATE","2565","2022",
"337","Fexofenadine hydrochloride tablets","Sriprasit Pharma Co., Ltd.","1A 23/47(NG)","FENAFEX","2564","2021",
"338","Fexofenadine hydrochloride tablets","Sriprasit Pharma Co., Ltd.","1A 34/50(NG)","FENAFEX 180 MG","2564","2021",
"339","Fexofenadine hydrochloride tablets","The Medicpharma Co., Ltd.","1A 8/61(NG)","MEDIFAST 180","2564","2021",
"340","Fexofenadine hydrochloride tablets","Unison Laboratories Co., Ltd.","1A 10/52(NG)","BOSNUM 180","2564","2021",
"341","Fexofenadine hydrochloride tablets","Unison Laboratories Co., Ltd.","1A 11/49(NG)","BOSNUM","2564","2021",
"342","Filgrastim sterile solution","Bio Sidus S.A. (Argentine Republic)","1C 2/59(BF)","NEUTROMAX (480 MCG)","2562","2019",
"343","Filgrastim sterile solution","Bio Sidus S.A. (Argentine Republic)","1C 3/59(BF)","NEUTROMAX (300 MCG)","2562","2019",
"344","Filgrastim sterile solution","Center for Molecular Immunology (CIM) (Republic of Cuba)","1B 1/58(NB)","LEUCO-PLUS 300","2562","2019",
"345","Filgrastim sterile solution","Center for Molecular Immunology (CIM) (Republic of Cuba)","1B 2/58(NB)","LEUCO-PLUS 300 (PREFILLED SYRINGE)","2562","2019",
"346","Filgrastim sterile solution","Intas Pharmaceuticals Ltd. (Republic of India)","1C 8/53(BF)","NEUKINE 300 MCG/1.0 ML","2562","2019",
"347","Finasteride tablets","AIAC International Pharma, LLC (United States of America)","1C 68/55(N)","PROPECIA","2562","2019",
"348","Finasteride tablets","Atlantic Laboratories Corp., Ltd.","1A 19/50(NG)","PROSTERIDE","2562","2019",
"349","Finasteride tablets","Mega Lifesciences Public Co., Ltd.","1A 11/55(NG)","STERCIA-5","2562","2019",
"350","Finasteride tablets","Siam Bheasach Co., Ltd.","1A 1/51(NG)","FIRIDE (1 MG TABLET)","2562","2019",
"351","Finasteride tablets","Siam Bheasach Co., Ltd.","1A 15/43(NG)","FIRIDE (5 MG TABLET)","2562","2019",
"352","Finasteride tablets","T.O. Chemicals (1979) Co., Ltd.","1A 8/47(NG)","HARIFIN-1","2562","2019",
"353","Finasteride tablets","T.O. Chemicals (1979) Co., Ltd.","1A 9/47(NG)","HARIFIN-5","2562","2019",
"354","Finasteride tablets","Biolab Co., Ltd.","1A 12/54(NG)","BENSTAT","2565","2022",
"355","Finasteride tablets","Polipharm Co., Ltd.","1A 69/63(NG)","PROSTAT 5","2565","2022",
"356","Finasteride tablets","Siam Bheasach Co., Ltd.","1A 15/43(NG)","FIRIDE (5 MG TABLET)","2565","2022",
"357","Finasteride tablets","The Government Pharmaceutical Organization (GPO)","1A 18/57(NG)","GPO-FINAX (5)","2565","2022",
"358","Flavoxate hydrochloride tablets","Pharmasant Laboratories Co., Ltd.","1A 15/34","SPASURI TABLETS","2565","2022",
"359","Fluconazole capsules","M & H Manufacturing Co., Ltd.","1A 21/43(NG)","FLUDIZOL (200 MG)","2563","2020",
"360","Fluconazole capsules","Siam Bheasach Co., Ltd.","1A 16/42(NG)","FLUCOZOLE (200 MG CAPSULE)","2563","2020",
"361","Fluconazole capsules","The Government Pharmaceutical Organization (GPO)","1A 32/59(NG)","FLUZORAL","2563","2020",
"362","Fluoxetine hydrochloride capsules/tablets","Pharmasant Laboratories Co., Ltd.","1A 503/42","FLUTINE TABLETS","2561","2018",
"363","Fluoxetine hydrochloride capsules/tablets","The Government Pharmaceutical Organization (GPO)","1A 17/55","FOXETIN","2561","2018",
"364","Fluoxetine hydrochloride capsules/tablets","The Medicpharma Co., Ltd.","1A 49/38","FULOX 20","2561","2018",
"365","Fluoxetine hydrochloride capsules/tablets","The Medicpharma Co., Ltd.","1A 756/42","OXETINE 20 TABLET","2561","2018",
"366","Folic acid tablets","Blackmores Ltd. (Commonwealth of Australia)","1C 30/45","BLACKMORES FOLIC ACID","2563","2020",
"367","Folic acid tablets","Continental Pharm Co., Ltd.","1A 1130/44","FOLIC ACID TABLET","2563","2020",
"368","Folic acid tablets","Interthai Pharmaceutical Manufacturing Co., Ltd.","1A 200/48","FOLIAMIN","2563","2020",
"369","Folic acid tablets","Medicine Products Co., Ltd.","1A 321/49","FOLIMED","2563","2020",
"370","Folic acid tablets","Nutra Manufacturing, Inc. (United States of America)","1C 185/42","GNC FOLIC ACID 800 MCG TABLETS","2563","2020",
"371","Folic acid tablets","Patar Lab (2517) Co., Ltd.","1A 138/57","F-MIN","2563","2020",
"372","Folic acid tablets","Pharma Supply Co., Ltd.","1A 336/50","FOLIC 5 MG","2563","2020",
"373","Folic acid tablets","Pharmasant Laboratories Co., Ltd.","1A 441/39","FOLIC TABLET","2563","2020",
"374","Folic acid tablets","Pharmasant Laboratories Co., Ltd.","1A 492/51","BOOTS FOLIC ACID","2563","2020",
"375","Folic acid tablets","Rota Laboratories Co., Ltd.","1A 210/45","FOLIC ACID TABLETS","2563","2020",
"376","Folic acid tablets","Siam Bheasach Co., Ltd.","1A 1627/27","FOLIVIT TABLET","2563","2020",
"377","Folic acid tablets","The Government Pharmaceutical Organization (GPO)","1A 86/54","FOLIC ACID TABLETS","2563","2020",
"378","Furosemide sterile solution","L.B.S. Laboratory Ltd., Part.","1A 723/30","H-MIDE","2562","2019",
"379","Furosemide sterile solution","Sanofi Aventis Pakistan Limited (Islamic Republic of Pakistan)","1C 238/41","LASIX","2562","2019",
"380","Furosemide sterile solution","Sanofi Aventis Pakistan Limited (Islamic Republic of Pakistan)","1C 903/29","LASIX 250 MG","2562","2019",
"381","Furosemide sterile solution","Siam Bheasach Co., Ltd.","1A 260/54","FURETIC INJECTION","2562","2019",
"382","Furosemide sterile solution","T.P. Drug Laboratories (1969) Co., Ltd.","1A 218/48","FUROSEMIDE INJECTION","2562","2019",
"383","Furosemide sterile solution","The Government Pharmaceutical Organization (GPO)","1A 395/49","FUROSEMIDE INJECTION","2562","2019",
"384","Furosemide sterile solution","Able Medical Co., Ltd.","1A 308/65","LASIVEN","2566","2023",
"385","Furosemide sterile solution","Atlantic Laboratories Corp., Ltd.","1A 2294/29","DIRINE","2566","2023",
"386","Furosemide sterile solution","Siam Bheasach Co., Ltd.","1A 260/54","FURETIC INJECTION","2566","2023",
"387","Furosemide sterile solution","The Government Pharmaceutical Organization (GPO)","1A 395/49","FUROSEMIDE INJECTION","2566","2023",
"388","Furosemide tablets","Macrophar Co., Ltd.","1A 195/49","FEMIDE","2564","2021",
"389","Furosemide tablets","New Life Pharma Co., Ltd.","1A 183/39","FUROSIC","2564","2021",
"390","Furosemide tablets","Polipharm Co., Ltd.","1A 41/55","FURIDE 500","2564","2021",
"391","Furosemide tablets","Siam Bheasach Co., Ltd.","1A 27/28","FURETIC","2564","2021",
"392","Furosemide tablets","The Government Pharmaceutical Organization (GPO)","1A 353/43","FUROSEMIDE TABLETS 40 MG","2564","2021",
"393","Gabapentin capsules/tablets","Atlantic Laboratories Corp., Ltd.","1A 25/57(NG)","GABTIN 400","2563","2020",
"394","Gabapentin capsules/tablets","Berlin Pharmaceutical Industry Co., Ltd.","1A 29/59(NG)","BERLONTIN 300","2563","2020",
"395","Gabapentin capsules/tablets","Siam Bheasach Co., Ltd.","1A 8/51(NG)","GABUTIN 100 MG CAPSULE","2563","2020",
"396","Gabapentin capsules/tablets","Unison Laboratories Co., Ltd.","1A 50/50(NG)","VULTIN 100","2563","2020",
"397","Gabapentin capsules/tablets","Unison Laboratories Co., Ltd.","1A 52/50(NG)","VULTIN 400","2563","2020",
"398","Gabapentin capsules/tablets","Atlantic Laboratories Corp., Ltd.","1A 20/59(NG)","GABTIN 100 (CAPSULE)","2566","2023",
"399","Gabapentin capsules/tablets","Berlin Pharmaceutical Industry Co., Ltd.","1A 15122/62(NG)","BERLONTIN 100","2566","2023",
"400","Gabapentin capsules/tablets","Berlin Pharmaceutical Industry Co., Ltd.","1A 15123/62(NG)","BERLONTIN 600","2566","2023",
"401","Gabapentin capsules/tablets","Biolab Co., Ltd.","1A 30/53(NG)","RONTIN (600)","2566","2023",
"402","Gabapentin capsules/tablets","Siam Bheasach Co., Ltd.","1A 9/51(NG)","GABUTIN 300 MG CAPSULE","2566","2023",
"403","Gabapentin capsules/tablets","Siam Bheasach Co., Ltd.","1A 5/59(NG)","GABUTIN 600 MG TABLET","2566","2023",
"404","Gabapentin capsules/tablets","Unison Laboratories Co., Ltd.","1A 51/50(NG)","VULTIN 300","2566","2023",
"405","Gabapentin capsules/tablets","Unison Laboratories Co., Ltd.","1A 52/50(NG)","VULTIN 400","2566","2023",
"406","Gabapentin capsules/tablets","The Government Pharmaceutical Organization (GPO)","1A 20/55(NG)","GABAPENTIN GPO (100",,,
"mg)""","2566","2023",,,,,
"407","Gabapentin capsules/tablets","The Government Pharmaceutical Organization (GPO)","1A 20/58(NG)","GABAPENTIN GPO (300 MG)","2566","2023",
"408","Gemfibrozil capsules/tablets","Berlin Pharmaceutical Industry Co., Ltd.","1A 175/38","HIDIL 600","2564","2021",
"409","Gemfibrozil capsules/tablets","Berlin Pharmaceutical Industry Co., Ltd.","1A 622/34","HIDIL","2564","2021",
"410","Gemfibrozil capsules/tablets","Millimed Co., Ltd.","1A 145/49","MILPID 600","2564","2021",
"411","Gemfibrozil capsules/tablets","Pharmasant Laboratories Co., Ltd.","1A 334/35","POLYXIT","2564","2021",
"412","Gemfibrozil capsules/tablets","Pharmasant Laboratories Co., Ltd.","1A 617/43","POLYXIT 600","2564","2021",
"413","Glibenclamide tablets","Siam Bheasach Co., Ltd.","1A 2248/29","SUGRIL (5 MG TABLET)","2561","2018",
"414","Gliclazide tablets","LES Laboratoires Servier Industrie (French Republic)","1C 19/54(N)","DIAMICRON MR 60 MG","2565","2022",
"415","Glimepiride tablets","PT Aventis Pharma (Republic of Indonesia)","1C 39/50(N)","AMARYL (4 MG)","2563","2020",
"416","Glimepiride tablets","PT Aventis Pharma (Republic of Indonesia)","1C 40/50(N)","AMARYL (3 MG)","2563","2020",
"417","Glimepiride tablets","PT Aventis Pharma (Republic of Indonesia)","1C 41/50(N)","AMARYL (2 MG)","2563","2020",
"418","Glimepiride tablets","PT Aventis Pharma (Republic of Indonesia)","1C 42/50(N)","AMARYL (1 MG)","2563","2020",
"419","Glimepiride tablets","Siam Bheasach Co., Ltd.","1A 46/56(NG)","DIAGLIP 4 MG TABLET","2563","2020",
"420","Glimepiride tablets","Siam Bheasach Co., Ltd.","1A 8/53(NG)","DIAGLIP 2 MG TABLET","2563","2020",
"421","Glimepiride tablets","Siam Bheasach Co., Ltd.","1A 9/53(NG)","DIAGLIP 1 MG TABLET","2563","2020",
"422","Glimepiride tablets","Unison Laboratories Co., Ltd.","1A 4/56(NG)","LOSU-3","2563","2020",
"423","Glipizide tablets","Bangkok Lab & Cosmetic Co., Ltd.","1A 1048/40","GLUCODIAB","2562","2019",
"424","Glipizide tablets","Community Pharmacy Public Co., Ltd.","1A 58/44","GLYCEDIAB 5 MG TABLET","2562","2019",
"425","Glipizide tablets","General Drugs House Co., Ltd.","1A 1081/40","GLYGEN","2562","2019",
"426","Glipizide tablets","Lerd Singh Pharmaceutical Factory Ltd., Part.","1A 105/37","GLIPIDIAB","2562","2019",
"427","Glipizide tablets","Medicine Products Co., Ltd.","1A 489/43","GLIPIMED","2562","2019",
"428","Glipizide tablets","Millimed Co., Ltd.","1A 31/48","GPZIDE","2562","2019",
"429","Glipizide tablets","New Life Pharma Co., Ltd.","1A 380/39","GLIBEZIDE","2562","2019",
"430","Glipizide tablets","Osoth Inter Laboratories Co., Ltd.","1A 241/51","PHARMAHOF GLIZIDE","2562","2019",
"431","Glipizide tablets","Pfizer Italia S.r.l. (Republic of Italy)","1C 288/41","MINIDIAB (TABLET)","2562","2019",
